label,protocol_type,service,flag,duration,src_bytes,dst_bytes,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,num_failed_logins,logged_in
normal,tcp,ftp,SF,2.3535065996253044,227,12835,5,9,0.032939093530643,0.03828131710953931,0.9951264784600309,0.0,23,10,1,0
normal,udp,telnet,SF,7.68034684589793,485,7901,7,7,0.029234865121120182,0.0,0.9884431428356124,0.04789926053805141,28,21,0,1
DoS,tcp,other,SF,1.4442860252786531,18,3,207,191,0.7562118017993278,0.20860718984260032,0.989631743372585,0.019276626825107758,253,291,0,0
normal,tcp,smtp,SF,1.887712501661759,233,29,9,8,0.020493032815250535,0.041760598621301444,0.9059418982480612,0.08615011500033812,22,24,0,1
normal,tcp,other,SF,1.4570640678674942,1444,777,15,7,0.019785481743079543,0.008074094838870768,1.0,0.10190851998445788,19,16,0,1
normal,tcp,telnet,SH,4.598746052854268,47,2955,17,8,0.04985985497624886,0.0021365379080360014,1.0,0.0,32,20,0,0
normal,tcp,other,SF,5.10317494332838,174,154,11,9,0.017545141096438094,0.053410227240336366,0.9377044120550724,0.07314883598605684,22,19,0,1
DoS,tcp,private,REJ,0.5066234735376848,70,4,181,189,0.8888444915389921,0.054565590993262254,0.9591498405649841,0.0025413534287573643,265,256,0,0
normal,tcp,dns,SF,2.881064132325402,242,119,11,8,0.0,0.0,0.8577541198734682,0.09243162328797377,19,21,0,1
Probe,udp,ftp,SF,0.025374794602400098,5,2,53,5,0.41880755660770697,0.628964187320664,0.08980823876129237,0.8943251208997565,202,12,0,0
normal,tcp,http,SF,1.61534398295625,413,10166,7,5,0.0,0.030192322119295623,0.9201455843834268,0.05399597983707893,18,31,0,1
Probe,tcp,other,SF,0.6730472423555964,8,3,57,5,0.1302676867707861,0.27035130484495606,0.20012952794535413,0.7070605661813568,186,12,0,0
DoS,udp,http,SF,0.36635024350934425,27,2,195,236,0.8906151744960137,0.03696442418555018,0.9653439524791693,0.013669250318915334,268,283,0,0
Probe,tcp,telnet,SF,0.215960092388735,12,6,58,1,0.262595932468327,0.587919334105822,0.09168901864842455,0.7420026008764093,194,11,0,0
normal,udp,ftp,SF,5.287308351847355,82,693,10,10,0.03522040949148014,0.027809602027633745,0.9894104317542056,0.14306746588421565,20,18,0,1
normal,tcp,smtp,SF,7.778056141992567,582,71,6,9,0.046288094073650365,0.029693477175081875,0.8171601018316874,0.06648031364105708,24,20,0,1
normal,tcp,smtp,SF,1.228733797555789,267,636,5,3,0.0,0.014958055832402315,0.7794542275939706,0.11147783753311491,19,29,0,0
normal,tcp,http,SF,0.5960811905938878,1063,321,12,3,0.025834391118462696,0.03004655169186829,1.0,0.040659413776715364,17,18,0,1
DoS,tcp,ssh,S0,0.4047166101517807,32,2,229,217,0.8711085066772618,0.0,1.0,0.013961435843856842,244,256,0,0
U2R,udp,other,SF,4.90001462697576,301,216,2,3,0.13970356581227455,0.04694631242103606,0.7920801813648668,0.2634020059281122,5,3,1,1
normal,tcp,ssh,SF,1.7120744292440975,236,185,13,5,0.03192714182700533,0.002754553304748844,0.9582768734939805,0.0793834140945463,29,24,0,1
Probe,tcp,telnet,SF,0.041735774418577565,4,2,44,4,0.10932068718505741,0.3697950490121309,0.3619513281839397,0.9857526139988979,209,13,0,0
Probe,udp,private,REJ,0.28016849633923446,12,4,56,4,0.21273630986565645,0.08134496481520415,0.14764178898087474,0.751362068101796,190,10,0,0
normal,tcp,ftp,SF,30.5946391945404,1476,2877,8,14,0.0,0.0,0.9219271129354907,0.005348293029164286,26,16,0,1
